language_name,language_synonym,approximate_latitude_of_language_variety,approximate_longitude_of_language_variety,state_territory
Kalarku,"Kalaaku, Kalarko, Kalaku, Ngatjunmay, Galagu/Kalako, Kallaar, Malpa, Galagu, Kalako, Ngadjunmaia, Marlba, Beelia, Beeloo, Derbal, Gala:gu, Ilakuri wongi, Juadjag, Juadjek, Juadjuk, Kalaako, Karakata, Karrakatta, Malba, Minal njunga, Minalnjunga, Minnal Yungar, Mooro, Murram, Njindango, Swan River Tribe, Takalako, Wadjug, Wadjuk, Wadjup, Wajuk, Whadjuk, Whajook, Witja:ri, Witjari, Yooadda, Yooard, Yoongar, Yuard, Yuatjek, Yungar, Yungur, Galaagu, West Mirniny",-32.110217754506,121.4875755408,WA
Wilyara ,Wiijara,-26.799611608385,120.41568813065,WA
Gula ,Go:la,-27.99046024825,122.70200834255,WA
Gurduwanga ,"Kurduwonga, Kurduwongga, Wadjari, Baialdju, Cheangwa, Iirrawad ari, Irawadjari, Jamadji, Maliara, Miliara, Miliarra, Pidong, Wadarri, Wadgaree, Wadjeri, Waian wonga, Wajari, Wajeri, Wajjari, Wardal, Yajeri, Yamaidyi",-25.668816450276,117.54738262512,WA
Djalgandi ,"Tjalkanti, Tjalkadjara, Barduwonga, Djalgadjara, Barduwanga, Talkumara, Tjalkandjara, Tjalkakari, Wordako, Tjalkani, Djalgani, Tjalgandi, Erlistoun tribe, Dituwonga",-27.645728155089,122.97306203614,WA
Wawula ,"Madoitja, Wardal, Wirdinja, Ngaiu, Ngayuwanga, Waula, Wawlwulu, Ngaiuwonga, Wawulja, Tjitijamba, Tjitjijamba, Waula for Wardal, Marduidji, Milamada, Wainawonga, Konin, Waula for Madoitja",-25.010140467372,121.11964519461,WA
Ngadjumaya / Ngadju,"Ngatjumaya, Ngatyumaya, Ngadjunmaya, Ngatjunmay, Galagu, Kalako, Ngadjunmaia, Ba:donjunga, Badonjunga, Bardojunga, Bardok, Buljigu, Fraser Range tribe, Malba, Marlba, Marlpa, Minninng, Ngadjumaja, Ngadjunma, Ngadjunpakara, Ngadjunpukara, Ngadyunma, Ngatju, Ngatjumay, Ngatjunmaya, Norseman, Pardoak, Tchaakalaaga, Wangka malpa, West Meening, West Mining, Ngadyumaya, Ngadjunma/Marlba, Wangka Malpa, Ngadju:",-32.324664323174,123.74119550947,WA
Ngadawanga ,"Ngaiawongga, alternative for Tjupany, Madoitja, Ngadawongga, Ngadhawonga, Ngarawonga, Bidungu/Ngayawanga/Ngadawanga, Ngajawonga, Ngaiu wonga, Ngarga wonga, Maliar:a, Wallawe, Waula, Pidungu, Madutjara",-26.401740132949,119.57970476761,WA
Tjupan,"Tjupany, Madoitja, Tjubanba, Tjubanba, Djuban, Tjupan, Jupan, Thuradha (Bates), Tjuparn Wangka, Tjupany",-27.117955474616,120.56642240741,WA
Nakako ,"Nakaku, Nangako, Nangakopitja, Wanudjara",-27.222842765728,128.51091416846,WA
Mantjintjarra ,"Mandjindja, Jindi, Kalgonei, Kalgoneidjara, Madu, Maduwongga, Mandijildjara, Mandildjara, Mandjihjarra, Mandjiidjarra, Mandjildara, Mandjildjara, Mandjildjarra, Mandjiltjara, Mandjiltjarra, Mandjintjarra, Mandjindjara, Mandjindji, Mandjindjiwongga, Mandshindshi, Mangingiwonga, Manginji, Mangula, Mangundjara, Manjiljara, Manjiljarra, Manjinjiwonga, Mantjila, Mantjildjara, Mantjiltjara, Manyjilyjarra, Nanggarangku, Man gula, Nanggar angku",-27.253857884925,126.08461682425,WA
Mangu ,Manyjilyjarra,-25.579879925586,119.77503108661,WA
Nanadjara,"Nana, Pini, I:nabadanggural, Kalgo nei, Kalgoneidjara, Kalguni, Nangand jara, Nangaridjara, Ngan:adjara, Nganadjara, Jumudjara, Ngatari, Nona",-26.064065288865,123.48763939134,WA
Ngaanyatjarra ,"Ngaanjatjarra, Nana, I:nabadanggural, Jumudjara, Kalgonei, Kalgoneidjara, Kalguni, Kuwaratjara, Nangandjara, Nangaridjara, Ngaanjadjara, Ngan:adjara, Ngana, Nganadjara, Ngatari, Nona, Warburton Ranges, Ngadadjara, Ngaanyatjara, Warburton Ranges Dialect, Jabungadja, Ku:rara, Nadadjara, Nga:da, Nga:dapitjardi, Ngad adara, Ngadatara, Ngadatjara, Ngadawongga, Ngadjatara, Ngatatara, Ngatatjara, Rumudjara, Teitudjara, Wan:udjara, Warara, Wirtjandja, Witjandja",-25.80043240336,127.35345751349,WA
Wajarri,"Watjarri, Bidungu, Irawadjari, Mulyara, Nokaan, Wadjari, Waiawonga, Baialdju, Batiga, Cheangwa, Dhauerngu, Iirrawadari, Jamadji, Kurduwonga, Kurduwongga, Maliara, Miliara, Miliarra, Pidong, Wadari, Wadarri, Wadgaree, Wadhari, Wadjeri, Wadyari, Waian, Waianwonga, Wajari, Wajeri, Wajjari, Wajjiri, Wanmala, Wardal, Watjari, Wodjeri, Yabbaroo, Yabbooroo, Yajeri, Yamadgee, Yamaidyi, Yamaji, Wadyarri, Witjari, Waian wonga, Iirrawad ari",-26.100230390261,116.99308252226,WA
Kaalamaya ,"Kaprun, Karlamay, Nyunga, Galamaia, Jabururru, Jawan, Kalamaia, Kelamai, Natingero, Takalako, Watjanmay, Yabro, Galamai, Galamaya, Jaburu, Jungaa, Jungal, Kala:mai, Kaallarmaay, Kalamai, Kalamay, Kalamaya, Njindango, Youngal, Youngar, Yungar, Galamay, Gubrun, Kapurn",-30.263691528344,119.0129787698,WA
Ngaatjatjarra ,"Ngaatjatjarr, Ngaanyatjarra, Ngaadjadjara, Ngatatjara, Ngadadjara, Bidungu, Madutjara, Maliar:a, Nalada, Ngaatjatarra, Ngada, Ngadawangga, Ngadawongga, Ngadhawonga, Ngaiawongga, Ngaiu wonga, Ngajawonga, Ngarawonga, Ngarga, Ngargawonga, Ngayawangga, Nyadadjara, Pidungu, Tekateka, Wallawee, WaulaNgaadadjara, Ngadatjara, Jabungadja, Ku:rara, Nadadjara, Nga:da, Nga:dapitjardi, Ngad adara, Ngadatara, Ngadjatara, Nganadjara, Ngatatara, Rumudjara, Teitudjara, Wan:udjara, Warara, Wirtjandja, Witjandja",-25.08112518563,128.54199255349,WA
Ngarla ,"Ngarlawangga, Yinhawangka, Panytyima, Inawonga, Inawangga, Inawonga for Inawongga, Ngaunmardi, Nalawonga, Ngalawongga, Ngalawonga, Ngarla warngga, Southern Padima for Ninanu, Ngaala Warngga ",-23.799711855686,117.60738836527,WA
Wirdinya ,"Wawula, Wirdinja, Wardal, Jabura, Mardo, Woordinya, Woordunya",-23.83364083433,120.4708263347,WA
Nungara ,Nugara,-30.288736633741,120.59501258947,WA
Nyiyaparli ,"Palyku/Nyiyaparli, Njiyapali, Nijadali, Palyku, Bailgu, Binigura, Niabali, Paljgu, Iabali, Jana, Janari, Njiabadi, Njiabali, Njijabadi, Njijabali, Njijapali, Nyiyabali, Nyiyapali, Njiyabali",-22.924185578629,120.19647245046,WA
Kartujarra ,"Kartutjarra, Martu Wangka, Katutjara, Katudjara, Katatjara, Kardudjara, Gadudjara, Wal mala, Orailku, Ngadari",-23.282962677149,122.06253619927,WA
Manyjilyjarra ,"Martu Wangka, Manyjilyjara, Mardu, Mandjildjara/Manyjilyjarra, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Potidjara, Wanman, Jindi, Katutjara, Madu, Maduwongga, Mandijildjara, Mandildjara, Mandjihjarra, Mandjiidjarra, Mandjildara, Mandjildjarra, Mandjiltjara, Mandjiltjarra, Mandjintjarra, Mandjindja, Mangula, Mangundjara, Manjiljara, Manjiljarra, Manjiljarra/Kartujarra, Manjinjiwonga, Mantjila, Mantjildjara, Mantjiltjara, Mardo, Marduwangga, Martu wangka, Matu wangga, Matuntara, Matutjarra, Matuwangga, Nanggarangku, Martu",-22.573761734635,124.90624556636,WA
Kiyajarra ,"Mardu, Giyajarra/Keiadjara, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Manyjilyjarra, Potidjara, Wanman, Giadjara, Giyadyara, Giyadjara, Keiatara, Keredjara, Kiadjara, Giad jara, Gijadjara, Targudi, Tjargudi, Djar gudi, Targoodi, Kalgoneidjara, Kalguni",-23.510384152199,125.95265960129,WA
BANYJIMA ,"Banyjima, Panyjima, Panjtjima, Panytyima, Banjima, Bandjima, Mandanjongo, Papupadu, Banjima, Banyjima, Mandara, Paanjima, Pandima, Pandjima, Panjima, Panyjima, Banydyima, Bandjima, Pand'ima",-22.743132667405,118.37300319665,WA
Putijarra ,"Western Desert Language, Martu Wangka, Pawututjara, Potitjara, Putitjara, Budidjara, Bududjara, Purdi tara, Pawutudjara, Paodudjara, Patudja, Pa tudjara, Partutudjara, Bawndudjara, Partutu, Ngondidjara, Kaltalbudara, Kaltalbudjara, Kaltalbudjira, Poroko, Bardu wonga, Badu, Pardu, Tutudjara",-24.295162890646,122.61475954026,WA
Palyku ,"Palyku/Nyiyaparli, Mangguldulkara, Paljarri, Nijadali, Bailgu, Binigura, Niabali, Nyiyaparli, Paljgu, Baialja, Bailgo, Bailju, Bailko, Balgo, Balgoo, Balgu, Baligu, Baljgu, Balju, Boolgoo, Pailgo, Pailgu, Palgu, Palgoe, Pulgo, Pulgoe, Balygu",-22.239089157585,120.16083978695,WA
Dargudi ,Targudi,-23.069376057345,121.04572349304,WA
Nyamal ,"Pundju, Widagari, Witukari, Gnamo, Ibarga, Ibargo, Ibarrga, Namal, Namarl, Namel, Njalmal, Njamal, Njamarl, Njamat, Nyamarl, Nyamel, Pundju Njamal, Pundu Namal, Tjingkai Njamal, Wanbarda, Weedokarry, Weedookary, Widagaree, Wirdakarri",-21.220189379259,120.02940899496,WA
Ibarga ,"Nyangumarda, Iparuka, Kundal, Ngolibardu, Ngurlipartu, Nyangumarta, Walyirli, Wanyarli, Ibargo, Ibarrga, Jibarga, Moonyengoota, Powera, Njangamarda, Njangamada, Nyangamada, Nangamada, Nangam urda, Njangomada, Njangumada, Njangumarda, Nangumarda, Nyangumada, Nyangumata, Njadamarda, Njanja marta, Ngapakoreilitja, Ngardungardu, Warmala, I:baruga, Ngapakarna",-21.241791200905,122.3086586102,WA
Maduwongga  ,"Martu Wangka, Manjtjiltjara, Martu, Wangka, Mardu, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Manyjilyjarra, Potidjara, Wanman, Jindi, Julbaritja, Kabul, Maduwangga, Maduwonga, Mardo, Mardudjara, Yindi, Marduwangga",-30.174134763584,121.51374107656,WA
Widagari,"Widugari, Nyamal, Widagari/Witukari, Pundju, Witukari, Weedokarry, Weedookarry, Widagaree, Widakari, Wirdagari, Wirdakarri, Wirdugari, Njamal, Nyamel, Namal, Njalmal, Namel, Gnamo, Tjingkai Njamal, Ibarga, Ibarrga, Ibargo, Njamat, Wanbarda, Weedookary, Pundju Njamal, Pundu Namal",-21.327989524911,120.63936664165,WA
NYANGUMARTA ,"Nyangumarta, Njangumarta, Nyangumarda, Iparuka, Kundal, Ngolibardu, Ngurlipartu, Walyirli, Wanyarli, I:baruga, Ibarga, Ibargo, Ibarrga, Kularupulu, Nangamada, Nangamurda, Nangumada, Nangumarda, Nangumurdu, Ngapakarna, Ngapakoreilitja, Ngardungardu, Ngulipartu, Njadamarda, Njangamada, Njangamarda, Njangomada, Njangumada, Njangumarda, Njanjamarta, NungooMurdoo, Nyaumada, Nyangamada, Nyangumada, Nyangumata, Tjilakurukuru, Waljuli Njangamarda, Warmala, Ibarga/Ibarrga/Ibargo, Nungoomurdoo, Nyangumurtu, Nangam urda, Njanja marta, Marrngu",-20.479420766843,122.02895891035,WA
Warnman ,"Wanman, Mardu, Budijarra, Gardujarra, Giyajarra, Kartudjara, Keiadjara, Mandjildjara, Manyjilyjarra, Potidjara, Nanidjara, Nenidjara, Njanidjara, Wanman Wanman, Wanmanba, Wanmin, Warumala, Nanid jara",-22.23478879967,123.05241114393,WA
Karajarri ,"Karatjarri, Karadjeri, Garadjari, Karadjari, Garadare, Garadjara, Garadjeri, Garadyari, Garadyaria, Gardare, Karadhari, Karrajarra, Murgud, Nawurtu, Ngangu, Karatyarri, Kularupulu, Laradjeri, Minala, Nadja, Nadjanadja, Nangu, Naudu, Naurdu, Nawudu, Nawurungainj, Ngawadu, Garad are, Marrngu",-18.817369678434,122.32262142986,WA
Mangala ,"Mangarla, Djualin, Djuwali, Djuwalia, Jiwali, Koalgurdi, Manala, Mangai, Mangal, Mangula, Mangunda, Minala, Mungala, Yalmbau, Marrngu",-19.639949066406,123.96774721505,WA
Walmajarri ,"Walmatjarri, Walmadjari, Wolmatjeri, Wolmeri, Bililuna dialect, Djiwalinj, Djiwalinja, Djualin, Djuwali, Jiwarliny, Juwaliny, Ngadjukura, Ngainan, Nganang, Pitangu, Tjiwali, Tjiwalindja, Tjiwaling, Tjiwarlin, Walmadere, Walmadjeri, Walmadyari, Walmadyeri, Walmaharri, Walmaharry, Walmajai, Walmajari, Walmajeri, Walmatjari, Walmatjeri, Walmatjiri, Walmeri, Wanaeka, Waneiga, Wanmadjari, Warinari Pundur, Warmala, Wolmadjari, Wolmaharry, Wolmaijari, Wolmera, Wulumarai, Wulumari, Walmad jeri, Wariari Pundur, Dju alin",-19.467373171132,126.15125175949,WA
Yulparija ,"Yulparitja, Martu Wangka, Julbaridja, Nangatara, Yurlparija, Julbarida, Julbre, Julbri, Yulaparitya, Yulbari dja, Yulbaridja, Yulbaridya, Yulbarija, Yulbri, Yurlbaridya, YulapaRitya, Yulbaradja, Jülbre, Yuria, Yulparirra, Nangadjara, Njangadjara, Julbaritja, Ilbaridja, Nanidjara, Nangi, Mangai, Mangi",-21.183997145606,124.954501252,WA
Kukatja ,"Gugadja, Gogodj, Kokatja, Gogada, Gogadja, Gogadya, Gogoda, Gogodja, Gugada, Gugadji, Gugudja, Kokata, Koonggada, Kukacha, Kukada, Kukadja, Kukaja, Kukata, Kukatji, Kukuruba, Ku kuruba, Pardoo, Julbaritja, Julbre, Ilbaridja, Nambulatji, Bedengo, Bidong, Bidungo, Peedona, Peedong, Pidung, Pidunga, Manggai, Wangkatjunga, Wangatjunga, Wangatunga, Wangkatunga, Wangkadjungga, Wankutjunga, Wanaeka, Wangu, Panara, Bunara, Boonara",-20.489447500567,127.02387041488,WA
Bunara,"Ngardi, Ngardilj, Ngarti, Waringari, Boonarra, Buna:ra, Ngadi, Ngari, Ngati, Panara, Boonara, Waiangara, Kolo, Waiangari, Wain gara, Waiangadi, Warangari, Kukuruba, Woneiga, Wanayaga, Puruwantung, Buruwatung, Manggai, Munga, Walmala, Wommana",-20.709303855673,129.04645622791,WA
Tjeraridjal ,"Nyanganyatjara, Murunitja, Nangatadjara, Pindini, Wanggatha, Dyeraridyal",-30.431851084109,123.78318179256,WA
Ngurlipartu ,"Ngulipartu, Nyangumarta, Ngolibardu, Nyangumarda, Ngolibardu/Ngurlipartu, Iparuka, Kundal, Walyirli, Wanyarli, Tjilakurukuru",-21.243272358287,122.32849994657,WA
Walyirli ,"Nyangumarta, Nyangumarda, Walyirli/Wanyarli, Iparuka, Kundal, Ngolibardu, Ngurlipartu, Wanyarli, Walyurli",-20.058513211385,121.89624093275,WA
Fraser Range ,Fraser Range,-32.175364004514,123.47446545531,WA
Mijaranypa ,Mitjaranjpa,-22.999689368036,118.14527522302,WA
Ju'una ,Ju?una ,-22.000762956078,119.45541305778,WA
Yinhawangka,"Ngarluwangka, Panytyima, Ngalawonga",-24.455778426304,119.07826408524,WA
Murunitja ,"Nyanganyatjara, Nangatadjara, Pindini, Tjeraridjal, Wanggatha, Kogara Mara, Mooroon, Murnidja, Murunidja, Moorooon, Mara, Kogara",-30.302385789976,126.03071747822,WA
WESTERN DESERT LANGUAGE ,The Western Desert language,-26.337337816815,127.10810714062,NT
WESTERN DESERT LANGUAGE ,The Western Desert language,-26.337337816815,127.10810714062,SA
WESTERN DESERT LANGUAGE ,The Western Desert language,-26.337337816815,127.10810714062,WA
Wirdjaragandja ,"Wirdjabaganja, Wi:rtjapakandja",-26.304879382631,131.91107607403,WA
Kurajarra ,Gurajarra,-22.909591398018,122.3629167104,WA
Wangkajunga ,"Wangkatjungka, Martu Wangka, Wanggadjunga",-20.576465858871,126.50323359633,WA
Juwaliny ,"Tjuwalinj, Walmajarri, Tjiwaliny, Yuwarliny, Tyiwaliny",-20.643729665896,124.69879716783,WA
Pililuna ,"Walmajarri, Bililuna dialect",-19.66674635679,127.60046628947,WA
Mirniny,"Meening, Mining, Minninng, Mirniny, Ba:duk, Baaduk, Bardok, East Meening, East Mining, Eucla, Ikala, Ikula, Jirkala Mining, Jirkla mirning, Julbara, Julbari, Jurgala, Jurgula, Minal njunga, Mininj, Minnal yungar, Minning, Mirin, Mirningj, Murram, Ngadjadjara, Ngadjudjara, Ngadjuwonga, Ngandada, Ngandatha, Wanbiri, Wanmaraing, Warnabinnie, Warnabirri, Warnabirrie, Wonbil, Wonburi, Wonunda meening, Wonunda minung, Wonunda Mirning, Yerkla Mining, Yircla, Yirkala Mining, Yirkla, Yirkla Mining, Yurgala, Mirnin, Mirninj, Warna birrie, Wonbil also Wonburi, Jirkala Mining has another explanation for the name, Yerkla mining",-31.29303041962,128.15349327077,WA
Nyardi ,Njardi,-18.622991623929,125.27550390484,WA
Tjapanmay ,"Nyunga, Djabanmay",-30.963892724362,117.05411072932,WA
Nhanhagardi ,"Nana karti, Widi, Nanakarti, Nanakarri, Wiri, Minango, Minangu, Nanakari, Nanakati, Barimaia, Jaburu, Nganakarti",-29.217596810821,115.27495917689,WA
Witjaari ,"Whadjuk, Wadjuk, Wadjug, Whajook, Witja:ri, Wadjup, Juadjuk, Yooard, Yooadda, Minaln junga:, Minnal Yungar, Derbal, Karakata, Caractterup tribe, Karrakatta, Ilakuri wongi",-31.7559692038,116.21005237003,WA
Wirangu ,"Hilleri, Jilbara, Naljara, Ngoleiadjara, Nonga, Tidni, Tidnie, Titnie, Wanbiri, Wangon, Warrangoo, Willeuroo, Windakan, Wirangga, Wirongu, Wirrongu, Wirrung, Wirrunga, Yilrea, Weerung, Wanggan, Yulbara, Julbari Wonnga, Yulbara wonga, Ulbarara, Youlbara, Willuro, Wilyaru, Kartawongulta, Nhangga, Hillery, Illarie, Ngadha Wangga, Ngadhu wangga, Warna biri, Wambira",-31.535987723207,133.5220740691,SA
Pintupi ,"Pintupi Luritja, Bindubi, Ildawonga, Wenamba, Bindaboo, Bindabu, Bindiboo, Bindibu, Bindooboo, Bindubu, Kalgonei, Kalgoneidjara, Kalguni, Loritja, Luridja, Luritja, Matjunalatara, Panika, Pi:ntubi, Pindu, Pindubu, Pintubi, Pintubidjara, Pintubitjara, Pintubu, Pintudjara, Pintularapi, Pintunala, Puntubu, Teitudjara, Wankawinan, Wenaba, Wiluraratja, Ildawongga, Puntubu; Pintubidjara, Wan kawinan, Kalgo neidjara, Matju:na latara, Panika for Pintubi, Ilda, Ilta, Manggawara, Wananwanari, Maiidjara, Maiadjara for Ildawongga",-23.370096838363,127.58170309929,NT
Antekerrepenhe ,"Antekerrepenh, Andegerebinha, Andegerebenha, Andakerebina, Undekerebina, Walwallie, Williwilli, Yanindo, Andagerebina, Antakiripina, Andeberegina, Willi willi, Yanindo, Arandic",-22.753908140735,137.62060389685,NT
Antekerrepenhe ,"Antekerrepenh, Andegerebinha, Andegerebenha, Andakerebina, Undekerebina, Walwallie, Williwilli, Yanindo, Andagerebina, Antakiripina, Andeberegina, Willi willi, Yanindo, Arandic",-22.753908140735,137.62060389685,QLD
Kaytetye ,"Kaytetj, Kayteye, Kaytej, Gaidij, Kaititja, Kaititja; Gaididj, Kadda kie, Kaitidji, Kaitije, Kaitiji, Kaitish, Kaititj, Kaititje, Kat tit ya, Kat titch a, Katitch a, Katitja, Kaititj; Gaididj, Kaddakie, Katitcha, Katitya, Kaiditj, Kaytej; Gaididj, Keytetye, Kaititj; Kaititja, Gaididj, Kattitch a, Kaitej",-21.019874087248,134.06950250849,NT
Alyawarr ,"Aljawarra, Alyawarre, Iliaura, Aliawara, Aliwara, Aljawara, Alyawara, Ilawara, Iliama, Iljauara, Iljawara, Illiaura, Illura, Illyowra, Ilyauarra, Ilyowra, Jajuwara, Yalyuwara, Iliaura, Ilja:wara, Iljaura, Ilyaurra, Ja:wara, Aljawara, Ilaurainya, Udnla, Ilyuarra, Alyawarra, Aliawara, Alja:wara, Alyuwara, Illaura, Iloura, Ilyawara, Ilywara, Jaljuwara, Yalyuwara , Alyawerr, Alja:wara, Alyawarri, Arandic",-21.94837099764,135.53444633563,NT
WARLPIRI ,"Warlpiri, Lander Warlpiri, Ngalia, Walbiri, Walmalla, Walpiri, Waneiga, Warlmala, Walpiri, Alpira, Alpiri, Elpira, Ilpara, Ilpira, Ilpirra, Nambulatji, Njambalatji, Ulperra, Wailbri, Walbrai, Walbri, Waljbiri, Waljpiri, Walpari, Warrabri, Wolperi, Wolpirra, Walbiri, Waibry, Nambutj, Nambutju, Nambutj, Waibri, Walbiri, Albura, Boonara, Bunara, Buruwatung, Ipara, Jalpiri, Kolo, Kukuruba, Manggai, Munga, Nambuda, Nanbuda, Ngadi, Ngali, Ngaliya, Ngallea, Ngallia, Ngardi, Ngari, Ngarilia, Ngarliya; Warrmarla; Warnayaka; Ngardilypa, Yarlpiri, Njalia, Ooldean, Panara, Puruwantung, Waiangadi, Waiangara, Waingara, Wakirti Warlpiri, Walmala, Walmanba, Wanaeka, Wanajaga, Wanajaka, Wanajeka, Wanayaga, Warangari, Waringari, Warniaka, Warramulla, Wawilja, Wommana, Woneiga, Nam bulatji, Wal bri",-20.433595605496,131.05240928361,NT
Wakirti Warlpiri ,"Warlpiri, Eastern Warlpiri, Ali Curung, Hanson River Warlpiri, Warrabri Warlpiri, Ali Curung Warlpiri; Warrabri Warlpiri, Wageer, Wager, Wagier, Wagir, Wahgir, Wahkeer, Wahker, Wahkier, Wahkir, Wakeer, Waker, Wakier, Wakir, Wargir, Warkeer, Warker, Warkier, Warkir, Wugir, Wukeer, Wuker, Wukier, Wukir, Warlpri",-20.672093316621,133.09452880691,NT
Wakaya ,"Wagaya, Other Australian Indigenous Languages, Wakaja; Akaja, Arkiya, Lee wakya, Ukkia, Waagai, Waagi, Wagai, Wagaiau, Wagaja, Waggaia, Warkaia, Warkya, Wogaia, Woorkia, Worgai, Worgaia, Workaia, Workia, Worrkii, Wakaya; Leewakya, Wakaja, Wakkaja, Worki a, Wuga, Wagaia, Leewakya, Workii, Akaja",-20.152907594635,136.1691472206,NT
Warlmanpa ,"Walmanba, Wanmampa, Walmamba, Warlmanpa; Walmanba, Walmunba, Wanmanpa, Warlmanba, Walmala, Walmanpa, Walpiri, Albura, Alpira, Alpiri, Elpira, Ilpara, Ilpira, Ilpirra, Nam bulatji, Njambalatji, Ulperra, Wailbri, Walbiri, Walbrai, Wal bri, Waljbiri, Waljpiri, Walpari, Wanaeka, Wanajaga, Wanajaka, Wanajeka, Waneiga, Waringari, Warrabri, Wolperi, Wolpirra",-19.249626535773,132.87100726782,NT
Warumungu ,"Waramanga, Waramungu, Waramanga; Airamanga, Leenaranunga, Uriminga, Waramunga, Warimunga, Warramonga, Warramunga, Warrumunga, Wurmega, Warumungu; Waramanga, Warramanga, Warumunga, Warumungu; Warramunga, Airamanga, Warrmunga, Aira manga",-19.602712664845,134.50518184842,NT
Wambaya ,"Wambaia, Wombaya, Wambaia; Umbaia, Umbia, Wambaja, Wampaja, Wom by a, Wombaia, Wombya, Wonbaia, Yumpia, Wambaya; Umbaia, Wampaya; Umbaia, Wampaya, Wobya, Wambaya; Wambaia, Umbaia, Wailwan, Wailwin, Wailwun, Waljwan, Wamgaja, Wilwan, Ympia, Won baia",-18.173055306326,135.43105010266,NT
Ngalia ,"Ngaliya, Ngalea, Nambuda, Nangga, Nanggaranggu, Nanggarangku, Ngaliawongga, Ngalija, Ngallea, Ngallia, Ooldean, Tangara, Willoorara, Windakan, Willoo rara",-29.198371544364,129.48003328708,SA
GURINDJI ,"Gurindji, Kuurrinjtji, Gurinji, Kartangarurru, Korindji, Kurintji, Malngin, Tjial, Wandjira, Coorinji, Corringi, Garundji, Goarango, Guirindji, Gurindzi, Gurrinji, Guurindji, Koorangie, Kooringee, Kwarandji, Kwaranjee, We arr ung, Gurindgi",-17.462112816687,129.80759844339,NT
Jingulu ,"Djingulu, Djingili, Jingili, Tjingili, Tjingilu, Tjinggili, Tjingilli, Tjingali, Tjingalli, Chingalee, Chingalli, Tjingale, Tchingalee, Djingali, Djinggili, Tingalie, Leechunguloo",-17.350765267549,133.70151286316,NT
Gunindirri,"Gunindiri, Kunindiri, Cundundeerie, Goonanderry, Kunandra, Kundindiri, Leecundunderrie, Gundirri, Kunindirri, Kunindiri; Cundundeerie, Leecundundeerie, Gunindiri; Kundindiri, Ku nandra",-17.669227805119,136.84465216971,NT
